FlightID,Airline,FlightNumber,Origin,Destination,ScheduledDeparture,ActualDeparture,ScheduledArrival,ActualArrival,DelayMinutes,DelayReason,Cancelled,Diverted,AircraftType,TailNumber,Distance
573636,Delta,8439,DFW,BOS,2024-09-01 08:46,2024-09-01 09:09,2024-09-01 12:46,2024-09-01 12:48,2,Air Traffic Control,False,True,Boeing 777,N42466,989
60370,Delta,5899,LAX,SFO,2024-09-01 10:54,2024-09-01 11:03,2024-09-01 14:54,2024-09-01 14:56,2,Air Traffic Control,False,False,Boeing 737,N81705,452
730395,Delta,5264,LAX,MIA,2024-09-01 22:10,2024-09-01 22:36,2024-09-02 03:10,2024-09-02 03:16,6,Maintenance,True,True,Boeing 737,N17474,2621
196157,Delta,9763,ATL,BOS,2024-09-01 14:28,2024-09-01 14:50,2024-09-01 15:28,2024-09-01 15:58,30,Weather,False,True,Boeing 777,N11622,1525
1284630,Delta,7092,ATL,SEA,2024-09-01 14:27,2024-09-01 14:56,2024-09-01 19:27,2024-09-01 19:35,8,Air Traffic Control,False,True,Airbus A320,N83294,1869
711474,Delta,2395,DFW,SEA,2024-09-01 04:05,2024-09-01 04:29,2024-09-01 09:05,2024-09-01 09:20,15,Air Traffic Control,True,True,Boeing 777,N66813,1880
276255,Delta,1929,ATL,JFK,2024-09-01 13:50,2024-09-01 14:14,2024-09-01 19:50,2024-09-01 20:12,22,Weather,True,False,Airbus A320,N91681,1674
1121703,Delta,7986,DFW,BOS,2024-09-01 23:39,2024-09-02 00:00,2024-09-02 00:39,2024-09-02 00:47,8,Maintenance,True,False,Boeing 777,N15671,1033
871286,Delta,9104,ATL,SEA,2024-09-01 13:24,2024-09-01 13:28,2024-09-01 14:24,2024-09-01 14:18,-6,,False,False,Boeing 737,N23294,2819
896359,Delta,5996,LAX,BOS,2024-09-01 13:23,2024-09-01 13:37,2024-09-01 17:23,2024-09-01 17:23,0,,True,True,Boeing 777,N44489,2894
1384621,Delta,2636,LAX,BOS,2024-09-01 10:30,2024-09-01 10:59,2024-09-01 11:30,2024-09-01 11:25,-5,,True,True,Airbus A320,N64704,2666
695980,Delta,8762,LAX,JFK,2024-09-01 03:22,2024-09-01 03:30,2024-09-01 06:22,2024-09-01 06:20,-2,,False,False,Boeing 777,N28381,1053
1727128,Delta,443,JFK,JFK,2024-09-01 18:01,2024-09-01 18:13,2024-09-02 00:01,2024-09-02 00:03,2,Air Traffic Control,False,False,Airbus A320,N98161,1614
530556,Delta,1573,LAX,SFO,2024-09-01 03:11,2024-09-01 03:36,2024-09-01 06:11,2024-09-01 06:29,18,Air Traffic Control,False,True,Boeing 737,N77306,565
54087,Delta,1444,LAX,JFK,2024-09-01 01:47,2024-09-01 02:07,2024-09-01 07:47,2024-09-01 08:06,19,Weather,True,False,Boeing 737,N67356,2601
1251551,Delta,7982,JFK,BOS,2024-09-01 23:11,2024-09-01 23:28,2024-09-02 01:11,2024-09-02 01:04,-7,,True,False,Boeing 737,N57442,2624
389714,Delta,1894,ATL,BOS,2024-09-01 01:20,2024-09-01 01:39,2024-09-01 07:20,2024-09-01 07:40,20,Maintenance,True,False,Boeing 777,N89781,2845
382581,Delta,9339,LAX,JFK,2024-09-01 16:39,2024-09-01 16:46,2024-09-01 17:39,2024-09-01 18:01,22,Maintenance,True,True,Boeing 737,N38457,2014
292287,Delta,3117,ATL,BOS,2024-09-01 14:30,2024-09-01 14:48,2024-09-01 17:30,2024-09-01 17:42,12,Air Traffic Control,True,True,Boeing 737,N93015,962
580990,Delta,8541,LAX,MIA,2024-09-01 13:13,2024-09-01 13:24,2024-09-01 19:13,2024-09-01 19:26,13,Air Traffic Control,True,True,Boeing 737,N14644,2034
517004,Delta,7690,JFK,JFK,2024-09-01 10:03,2024-09-01 10:07,2024-09-01 14:03,2024-09-01 14:05,2,Maintenance,False,True,Airbus A320,N96658,2874
